id,c1,c2,c3,c4,c5,c6,,,,
1,4,2,8,9,0.963884994,100,,,,
2,4,7,1,10,0.529982303,69,,,,
3,9,4,8,1,0.676476102,79,,,,
4,0,1,3,4,0.392927425,91,,,,
5,8,1,3,7,0.377441661,29,,,,
6,0,5,8,10,0.434579848,59,,,,
7,5,9,9,4,0.223506031,89,,,,
8,8,4,1,9,0.727522084,30,,,,
9,8,7,9,6,0.9981366,11,,,,
10,8,5,5,10,0.377742449,30,,,,
11,10,7,3,9,0.663332987,15,,,,
12,3,0,5,6,0.697941417,65,,,,
13,8,9,4,10,0.060712893,48,,,,
14,9,3,9,7,0.162852533,12,,,,
15,5,1,5,2,0.376172509,77,,,,
16,0,5,4,1,0.195256952,10,,,,
17,0,7,7,8,0.260725052,84,,,,
18,1,7,2,4,0.183548845,89,,,,
19,1,7,1,4,0.76246516,51,,,,
20,6,8,2,7,0.118710044,67,,,,
21,10,5,1,10,0.015691035,41,,,,
22,10,5,7,4,0.202569172,55,,,,
23,6,6,4,0,0.781463387,79,,,,
24,9,9,8,5,0.213041887,30,,,,
25,6,8,9,8,0.804139251,73,,,,
26,8,3,8,3,0.466592806,100,,,,
27,2,7,4,7,0.575902705,13,,,,
28,5,3,3,0,0.987732394,39,,,,
29,9,7,8,6,0.543915831,55,,,,
30,7,6,2,7,0.289549662,95,,,,
31,2,10,6,3,0.581209643,18,,,,
32,10,4,2,4,0.232728552,11,,,,
33,5,3,9,6,0.14318722,6,,,,
34,9,9,8,10,0.114688906,34,,,,
35,3,3,2,6,0.204175049,30,,,,
36,1,6,7,1,0.59115561,51,,,,
37,7,8,5,2,0.256420717,89,,,,
38,10,3,1,5,0.145445844,15,,,,
39,2,7,9,9,0.963540863,68,,,,
40,3,8,2,7,0.943176089,50,,,,
41,9,0,8,0,0.072553454,65,,,,
42,4,9,8,3,0.829311591,52,,,,
43,2,4,5,6,0.733705523,68,,,,
44,7,4,1,7,0.67284155,95,,,,
45,6,6,9,6,0.612664967,86,,,,
46,4,7,0,1,0.060098485,24,,,,
47,3,5,6,0,0.685553551,98,,,,
48,10,8,8,1,0.752587714,31,,,,
49,2,9,7,5,0.056552579,16,,,,
50,7,0,0,3,0.508391105,89,,,,
51,7,4,7,9,0.509445258,46,,,,
52,8,5,10,3,0.446646599,53,,,,
53,8,3,9,6,0.279593541,85,,,,
54,2,3,8,0,0.409125676,24,,,,
55,7,3,2,4,0.82873169,3,,,,
56,2,4,8,10,0.126920528,51,,,,
57,7,7,2,2,0.700003705,98,,,,
58,1,8,0,0,0.955666074,72,,,,
59,1,9,0,3,0.753386153,15,,,,
60,10,8,2,4,0.743061038,75,,,,
61,6,0,6,8,0.405384488,0,,,,
62,4,9,4,4,0.458870215,58,,,,
63,6,2,6,10,0.75065197,35,,,,
64,6,7,8,1,0.262057657,92,,,,
65,6,4,2,4,0.754062969,92,,,,
66,5,0,10,4,0.012045248,20,,,,
67,1,2,5,4,0.639270341,48,,,,
68,10,3,1,2,0.535321115,21,,,,
69,4,10,2,4,0.147167704,85,,,,
70,3,6,0,5,0.760744014,22,,,,
71,0,1,8,2,0.905358509,47,,,,
72,2,1,4,2,0.100739573,95,,,,
73,4,9,2,1,0.400079187,72,,,,
74,6,6,8,4,0.49633348,30,,,,
75,3,10,7,8,0.645680707,33,,,,
76,0,2,7,1,0.935559132,38,,,,
77,8,1,3,3,0.352829094,43,,,,
78,8,10,3,7,0.354251313,19,,,,
79,4,8,8,3,0.200929795,41,,,,
